City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Prince Rupert,CA,54.3161,-130.3201,56.89,78,40,12.66,scattered clouds
277,Thai Binh,VN,20.45,106.3333,82.4,81,99,3.94,overcast clouds
278,Port Elizabeth,ZA,-33.918,25.5701,61.09,55,0,11.5,clear sky
279,Taree,AU,-31.9,152.4667,61.11,51,0,11.5,clear sky
280,Acarau,BR,-2.8856,-40.12,79.0,79,23,12.68,few clouds
281,Northam,GB,51.0333,-4.2167,53.15,93,100,4.25,light rain
282,Pemba,MZ,-12.974,40.5178,68.7,88,40,8.05,light rain
283,Inhambane,MZ,-23.865,35.3833,65.75,78,0,6.76,clear sky
284,Taicheng,CN,38.731,113.228,58.23,23,0,11.23,clear sky
285,Sistranda,NO,63.7256,8.834,44.6,87,20,9.22,few clouds
286,Coihaique,CL,-45.5752,-72.0662,39.15,93,75,0.0,broken clouds
287,Arlit,NE,18.7369,7.3853,86.79,8,54,3.71,broken clouds
288,Santa Maria,BR,-29.6842,-53.8069,52.9,100,0,4.41,clear sky
289,Black River,JM,18.0264,-77.8487,82.4,82,43,0.78,scattered clouds
290,Trebukhiv,UA,50.4843,30.903,62.01,94,20,3.38,few clouds
291,Itarema,BR,-2.9248,-39.9167,80.04,76,10,14.56,clear sky
292,Beckley,US,37.7782,-81.1882,74.88,58,1,1.01,clear sky
293,Novo Aripuana,BR,-5.1206,-60.3797,80.94,66,79,2.08,broken clouds
294,Omsukchan,RU,62.5333,155.8,36.23,99,100,5.48,light rain
295,Strezhevoy,RU,60.7333,77.5889,37.38,75,15,11.45,few clouds
296,Kushmurun,KZ,52.4503,64.6311,54.28,65,0,6.85,clear sky
297,Leshukonskoye,RU,64.8989,45.7622,37.69,97,100,4.36,overcast clouds
298,Ambanja,MG,-13.6833,48.45,70.23,89,2,2.84,clear sky
299,Ota,JP,36.3,139.3667,76.84,59,74,2.66,broken clouds
300,George Town,MY,5.4112,100.3354,81.9,89,20,3.44,few clouds
301,Nagod,IN,24.5667,80.6,77.9,75,100,1.63,overcast clouds
302,Batsfjord,NO,70.6345,29.7185,35.69,85,94,23.09,overcast clouds
303,Hami,CN,42.8,93.45,82.96,11,99,2.68,overcast clouds
304,Svetlyy,RU,54.675,20.1347,46.45,91,11,4.41,few clouds
305,Eqbaliyeh,IR,35.3022,51.5358,71.6,37,0,9.22,clear sky
306,Pokhara,NP,28.2333,83.9833,68.77,96,100,3.29,overcast clouds
307,Acapulco,MX,16.8634,-99.8901,87.8,58,90,8.05,overcast clouds
308,Trenton,US,40.217,-74.7429,78.24,49,1,1.01,clear sky
309,Vredendal,ZA,-31.6683,18.5012,53.19,90,46,2.93,scattered clouds
310,San Luis,AR,-33.295,-66.3356,56.98,52,23,8.99,few clouds
