City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Batagay-Alyta,RU,2021-05-24 19:57:51,67.8006,130.4114,36.45,57,10,3.96
283,Nalut,LY,2021-05-24 19:55:25,30.3333,10.85,94.66,12,96,8.97
284,Berdigestyakh,RU,2021-05-24 19:57:51,62.0989,126.6992,40.28,94,100,9.17
285,Elizabeth City,US,2021-05-24 19:57:51,36.2946,-76.2511,71.62,78,98,1.01
286,Kailua,US,2021-05-24 19:57:52,21.4022,-157.7394,83.07,75,18,1.66
287,Samarinda,ID,2021-05-24 19:57:52,-0.5,117.15,73.8,96,25,2.26
288,Nieuw Amsterdam,SR,2021-05-24 19:57:52,5.8833,-55.0833,82.56,86,40,7.78
289,Black River,JM,2021-05-24 19:57:53,18.0264,-77.8487,87.8,61,100,11.97
290,Sabla,NG,2021-05-24 19:57:53,12.7525,4.7077,93.94,22,70,2.57
291,Puerto Leguizamo,CO,2021-05-24 19:57:53,-0.1934,-74.7819,83.61,69,94,2.68
292,Petropavlovsk-Kamchatskiy,RU,2021-05-24 19:53:46,53.0452,158.6483,34.39,76,9,3.53
293,Celestun,MX,2021-05-24 19:57:54,20.8667,-90.4,87.26,57,54,14.38
